index,text,score,fold,entropy
114,"hip-hop has a history , and it's a metaphor for this love story . ",1,0,0.5717399217764463
117,"between the drama of cube ? s personal revelations regarding what the shop means in the big picture , iconic characters gambol fluidly through the story , with charming results . ",1,0,0.6829207839582067
119,"somewhere short of tremors on the modern b-scene : neither as funny nor as clever , though an agreeably unpretentious way to spend ninety minutes . ",1,0,0.6871198035143439
120,digital-video documentary about stand-up comedians is a great glimpse into a very different world . ,1,0,0.6029564828590683
123," "" extreme ops "" exceeds expectations . good fun , good action , good acting , good dialogue , good pace , good cinematography . ",1,0,0.6805230490535167
124,you should pay nine bucks for this : because you can hear about suffering afghan refugees on the news and still be unaffected . dramas like this make it human . ,1,0,0.6653668364874861
125,"a thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action . still , this flick is fun , and host to some truly excellent sequences . ",1,0,0.5868918922677407
126,"it's obviously struck a responsive chord with many south koreans , and should work its magic in other parts of the world . ",1,0,0.6201747933851443
127,"run , don't walk , to see this barbed and bracing comedy on the big screen . ",1,0,0.6865315104348262
128,a classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done . ,1,0,0.6910026792412882
129,"it is nature against progress . in fessenden's horror trilogy , this theme has proved important to him and is especially so in the finale . ",1,0,0.6760243417716154
130,"it's not exactly a gourmet meal but the fare is fair , even coming from the drive-thru . ",1,0,0.6717270355866023
131,"this is what imax was made for : strap on a pair of 3-d goggles , shut out the real world , and take a vicarious voyage to the last frontier -- space . ",1,0,0.6145999776655705
133,"[schweiger is] talented and terribly charismatic , qualities essential to both movie stars and social anarchists . ",1,0,0.6925637649195622
134,it's a great deal of sizzle and very little steak . but what spectacular sizzle it is ! . . . in this incarnation its fizz is infectious . ,1,0,0.6401422439767279
135,an original gem about an obsession with time . ,1,0,0.4915103758285242
136,it will delight newcomers to the story and those who know it from bygone days . ,1,0,0.6004857049130855
137,gloriously goofy ( and gory ) midnight movie stuff . ,1,0,0.659489614783889
138,the film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity . ,1,0,0.6042218234468415
139,"if your senses haven't been dulled by slasher films and gorefests , if you're a connoisseur of psychological horror , this is your ticket . ",1,0,0.6429826587314583
140,"it's a minor comedy that tries to balance sweetness with coarseness , while it paints a sad picture of the singles scene . ",1,0,0.6510525302089775
142,"as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten . ",1,0,0.6860633015792129
146,"a sad , superior human comedy played out on the back roads of life . ",1,0,0.6621697359154133
148,"tim allen is great in his role but never hogs the scenes from his fellow cast , as there are plenty of laughs and good lines for everyone in this comedy . ",1,0,0.6635058044097413
150,"enormously likable , partly because it is aware of its own grasp of the absurd . ",1,0,0.6305617479505704
154,"ray liotta and jason patric do some of their best work in their underwritten roles , but don't be fooled : nobody deserves any prizes here . ",1,0,0.6717217736241716
155,"everything that has to do with yvan and charlotte , and everything that has to do with yvan's rambunctious , jewish sister and her non-jew husband , feels funny and true . ",1,0,0.6478416539306527
156,"sweet home alabama "" is what it is  a nice , harmless date film . . . ",1,0,0.5813536018791693
158,fans of behan's work and of irish movies in general will be rewarded by borstal boy . ,1,0,0.6246391234293481
160,"the film is faithful to what one presumes are the book's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a fleeting and precious commodity no matter how old you are . ",1,0,0.692147878355886
161,stephen earnhart's homespun documentary mule skinner blues has nothing but love for its posse of trailer park denizens . ,1,0,0.691009343198165
162,a solidly seaworthy chiller . ,1,0,0.6923201500901721
163,"if you can get past the fantastical aspects and harsh realities of "" the isle "" you'll get a sock-you-in-the-eye flick that is a visual tour-de-force and a story that is unlike any you will likely see anywhere else . ",1,0,0.5645635970586719
165,a well-made thriller with a certain level of intelligence and non-reactionary morality . ,1,0,0.6498166863747312
166,"there's enough science to make it count as educational , and enough beauty to make it unforgettable . ",1,0,0.5580680279857402
169,"for a good chunk of its running time , trapped is an effective and claustrophobic thriller . ",1,0,0.5648226203026331
172,"the seaside splendor and shallow , beautiful people are nice to look at while you wait for the story to get going . ",1,0,0.6189238015735762
173,rare is the 'urban comedy' that even attempts the insight and honesty of this disarming indie . ,1,0,0.6245425602285343
174,ranks among willams' best screen work . ,1,0,0.5703383573098145
175,engagingly captures the maddening and magnetic ebb and flow of friendship . ,1,0,0.576396792278089
176,an experience so engrossing it is like being buried in a new environment . ,1,0,0.6731001832655994
178,thoroughly enjoyable . ,1,0,0.6220532444698821
182,a very funny movie . ,1,0,0.6516277591322357
184,a cop story that understands the medium amazingly well . ,1,0,0.6523157473959265
186,"britney has been delivered to the big screen safe and sound , the way we like our 20-year-old superstar girls to travel on the fame freeway . ",1,0,0.6931159711925229
187,those outside show business will enjoy a close look at people they don't really want to know . ,1,0,0.6855314267047119
188,the kind of nervous film that will either give you a mild headache or exhilarate you . ,1,0,0.6835574137640932
189,watching beanie and his gang put together his slasher video from spare parts and borrowed materials is as much fun as it must have been for them to make it . ,1,0,0.6874760808853306
190,"children may not understand everything that happens -- i'm not sure even miyazaki himself does -- but they will almost certainly be fascinated , and undoubtedly delighted . ",1,0,0.6866930554609231
192,"tadpole is a sophisticated , funny and good-natured treat , slight but a pleasure . ",1,0,0.39090318781268124
193,"this insightful , oscar-nominated documentary , in which children on both sides of the ever-escalating conflict have their say away from watchful parental eyes , gives peace yet another chance . ",1,0,0.497619605275882
194,i admired this work a lot . ,1,0,0.6928961939476215
195,"whether you're moved and love it , or bored or frustrated by the film , you'll still feel something . ",1,0,0.6411189566472182
196, . . . there are enough moments of heartbreaking honesty to keep one glued to the screen . ,1,0,0.6906805894265161
198,"a smart , sweet and playful romantic comedy . ",1,0,0.3562974227717364
200,"without heavy-handedness , dong provides perspective with his intelligent grasp of human foibles and contradictions . ",1,0,0.5023326098940749
201,"solid , lump-in-the-throat family entertainment that derives its power by sticking to the facts . ",1,0,0.6417110660289107
202,"as an entertainment , the movie keeps you diverted and best of all , it lightens your wallet without leaving a sting . ",1,0,0.5731923487574403
204,it won't bust your gut -- and it's not intended to -- it's merely a blandly cinematic surgical examination of what makes a joke a joke . ,1,0,0.6804304192857802
205,"a somewhat crudely constructed but gripping , questing look at a person so racked with self-loathing , he becomes an enemy to his own race . ",1,0,0.6931413337872445
207,"narc may not get an 'a' for originality , but it wears its b-movie heritage like a badge of honor . ",1,0,0.6819648611747171
209,"[drumline] is entertaining for what it does , and admirable for what it doesn't do . ",1,0,0.6719683145353061
211,"[a] rare , beautiful film . ",1,0,0.3569241241716405
213,a thoughtful look at a painful incident that made headlines in 1995 . ,1,0,0.6239695939310479
214,you walk out of the good girl with mixed emotions  disapproval of justine combined with a tinge of understanding for her actions . ,1,0,0.6157532380703252
215,tsai ming-liang has taken his trademark style and refined it to a crystalline point . ,1,0,0.6915392104303433
217,"now trimmed by about 20 minutes , this lavish three-year-old production has enough grandeur and scale to satisfy as grown-up escapism . ",1,0,0.6900078771741762
218,we get some truly unique character studies and a cross-section of americana that hollywood couldn't possibly fictionalize and be believed . ,1,0,0.6636685859561811
219,"though this film can be clumsy , its ambitions are equally -- and admirably -- uncommercial . ",1,0,0.6929780059917245
222,moore's performance impresses almost as much as her work with haynes in 1995's safe . ,1,0,0.628516679315883
223,"visits spy-movie territory like a novel you can't put down , examines a footnote to history seldom brought to light on the screen , and keeps you guessing from first frame to last . ",1,0,0.6921511770213533
224,"an absorbing , slice-of-depression life that touches nerves and rings true . ",1,0,0.4306759522025333
225,"mr . parker has brilliantly updated his source and grasped its essence , composing a sorrowful and hilarious tone poem about alienated labor , or an absurdist workplace sitcom . ",1,0,0.6195107274521379
231,polished korean political-action film is just as good -- and bad -- as hollywood action epics . is this progress ? ,1,0,0.6885471019204175
232,"elling , portrayed with quiet fastidiousness by per christian ellefsen , is a truly singular character , one whose frailties are only slightly magnified versions of the ones that vex nearly everyone . ",1,0,0.6906743933538115
233,denis and co-writer michele petin's impeccable screenplay penetrates with a rawness that that is both unflinching and tantalizing . lead provocatuers testud and parmentier give superlative performances,1,0,0.5624486837286053
234,"an absorbing trip into the minds and motivations of people under stress as well as a keen , unsentimental look at variations on the theme of motherhood . ",1,0,0.5881856147096154
235,"i admired it , particularly that unexpected downer of an ending . ",1,0,0.5955945023783865
236,"the passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the mideast desert , so lovingly and perceptively filmed that you can almost taste the desiccated air . ",1,0,0.682036518966699
237,remarkably accessible and affecting . ,1,0,0.57841362741762
238,"never mind whether you buy the stuff about barris being a cia hit man . the kooky yet shadowy vision clooney sustains throughout is daring , inventive and impressive . ",1,0,0.5100984920273515
243,"the additional storyline is interesting and entertaining , but it doesn't have the same magical quality as the beginning of the story . i like the new footage and still love the old stuff . ",1,0,0.5855866810394472
247,"windtalkers is shapelessly gratifying , the kind of movie that invites you to pick apart its faults even as you have to admit that somehow it hit you where you live . ",1,0,0.690081059768969
250,"a thoughtful , moving piece that faces difficult issues with honesty and beauty . ",1,0,0.3483718934660181
252,"you wouldn't call the good girl a date movie ( an anti-date movie is more like it ) , but when it's good , it's good and horrid . ",1,0,0.6625815862269294
253,"benefits from a strong performance from zhao , but it's dong jie's face you remember at the end . ",1,0,0.5471063110545233
255,"the director , steven shainberg , has succeeded by focusing intently on his characters , making them quirky individuals rather than figures of fun . ",1,0,0.693064362492984
256,it ultimately stands forth as an important chronicle of the abuses of one of latin america's most oppressive regimes . ,1,0,0.6536448018219185
257,"the movie has a soft , percolating magic , a deadpan suspense . ",1,0,0.6913828121355436
258,a well-made and often lovely depiction of the mysteries of friendship . ,1,0,0.5095451876064204
261,the transporter is as lively and as fun as it is unapologetically dumb,1,0,0.6368049751236522
262,"as a witness to several greek-american weddings -- but , happily , a victim of none -- i can testify to the comparative accuracy of ms . vardalos' memories and insights . ",1,0,0.6857738214882219
264,"by presenting an impossible romance in an impossible world , pumpkin dares us to say why either is impossible -- which forces us to confront what's possible and what we might do to make it so . ",1,0,0.6923123541981744
265,"an impressive debut for first-time writer-director mark romanek , especially considering his background is in music video . ",1,0,0.6890192685055757
267,"all the performances are top notch and , once you get through the accents , all or nothing becomes an emotional , though still positive , wrench of a sit . ",1,0,0.6510191218361194
271,"parker holds true to wilde's own vision of a pure comedy with absolutely no meaning , and no desire to be anything but a polished , sophisticated entertainment that is in love with its own cleverness . ",1,0,0.6569988125792339
273,"thankfully , the film , which skirts that rapidly deteriorating line between fantasy and reality . . . takes a tongue-in-cheek attitude even as it pushes the croc hunter agenda . ",1,0,0.6819670434497468
274,"ultimately , the message of trouble every day seems to be that all sexual desire disrupts life's stasis . ",1,0,0.6669409852787689
277,"there are a few stabs at absurdist comedy . . . but mostly the humor is of the sweet , gentle and occasionally cloying kind that has become an iranian specialty . ",1,0,0.6485781107710328
278,a wonderful character-based comedy . ,1,0,0.5764664615221451
280,an endearingly offbeat romantic comedy with a great meet-cute gimmick . ,1,0,0.6245393650504909
281,"the unique tug-of-war with viewer expectations is undeniable , if not a pleasure in its own right . ",1,0,0.5098770458640369
282,"it uses an old-time formula , it's not terribly original and it's rather messy -- but you just have to love the big , dumb , happy movie my big fat greek wedding . ",1,0,0.693003661139864
283,it's almost impossible not to be moved by the movie's depiction of sacrifice and its stirring epilogue in post-soviet russia . ,1,0,0.6863540396825865
284,"who knows what exactly godard is on about in this film , but his words and images don't have to add up to mesmerize you . ",1,0,0.667948606905377
285,"the tone is balanced , reflective and reasonable . ",1,0,0.6271301660857911
286,"the principals in this cast are all fine , but bishop and stevenson are standouts . ",1,0,0.6803546042910771
287,"it could change america , not only because it is full of necessary discussion points , but because it is so accessible that it makes complex politics understandable to viewers looking for nothing but energetic entertainment . ",1,0,0.6895897367105177
288,what's most striking about this largely celebratory film . . . is the sense of isolation that permeates these bastions of individuality in an ikea world . ,1,0,0.6087636350152806
289," . . . if you're in a mind set for goofy comedy , the troopers will entertain with their gross outs , bawdy comedy and head games . ",1,0,0.6346490211332572
291,"as a director , mr . ratliff wisely rejects the temptation to make fun of his subjects . ",1,0,0.5727160750059255
293,"intriguing and beautiful film , but those of you who read the book are likely to be disappointed . ",1,0,0.4998399276189499
294,"the new guy does have a heart . now , if it only had a brain . ",1,0,0.675394577476423
295,a savvy exploration of paranoia and insecurity in america's culture of fear . ,1,0,0.511863039057288
302,"i don't know precisely what to make of steven soderbergh's full frontal , though that didn't stop me from enjoying much of it . ",1,0,0.6918520897863824
303,the tug of war that ensues is as much a snapshot of modern china in microcosm as it is a crash course in movie mythology . ,1,0,0.6931453179544791
304,"nearly surreal , dabbling in french , this is no simple movie , and you'll be taking a risk if you choose to see it . i enjoyed the ride ( bumps and all ) , creamy depth , and ultimate theme . ",1,0,0.5755158822433952
305,"you could say that it's slow at times , you could say that a few of the characters act in ways that real people wouldn't , but one thing you couldn't say is that alias betty is predictable . ",1,0,0.6853850431130293
308,"an amusing , breezily apolitical documentary about life on the campaign trail . ",1,0,0.6474096357738306
311,"it's not so much enjoyable to watch as it is enlightening to listen to new sides of a previous reality , and to visit with some of the people who were able to make an impact in the theater world . ",1,0,0.5182529195929377
312,"spielberg is the rare director who does not want to invite viewers to gawk at or applaud his special effects . he just wants them to be part of the action , the wallpaper of his chosen reality . here , thankfully , they are . ",1,0,0.6931296557460266
313,"post 9/11 the philosophical message of "" personal freedom first "" might not be as palatable as intended . ",1,0,0.6864193091203454
314,"hu and liu offer natural , matter-of-fact performances that glint with sorrow , longing and love . ",1,0,0.5483392523421428
317,girls gone wild and gone civil again,1,0,0.6894851305141567
319,"while this film is not in the least surprising , it is still ultimately very satisfying . think of it as a sort of comfort food for the mind . ",1,0,0.6063101352564986
320,"clever , brutal and strangely soulful movie . ",1,0,0.6734610148733693
322,an intelligent fiction about learning through cultural clash . ,1,0,0.6713030093460033
323,will grab your children by the imagination and amaze them and amuse them . ,1,0,0.6665728675629328
325,"those who would follow haneke on his creepy explorations . . . are rewarded by brutal , committed performances from huppert and magimel . ",1,0,0.5973080570777858
326,an involving true story of a chinese actor who takes up drugs and winds up in an institution--acted mostly by the actual people involved . ,1,0,0.6922951308860352
327,hands down the year's most thought-provoking film . but it pays a price for its intricate intellectual gamesmanship . ,1,0,0.6767964503448023
328,it's a terrific american sports movie and dennis quaid is its athletic heart . ,1,0,0.4820123956513856
330,"compelling revenge thriller , though somewhat weakened by a miscast leading lady . ",1,0,0.6571054495883546
331,"it's amazingly perceptive in its subtle , supportive but unsentimental look at the marks family . ",1,0,0.5805456121843934
332,"a whole lot foul , freaky and funny . ",1,0,0.6679414481538954
334,attal mixes comedy with a serious exploration of ego and jealousy within a seemingly serene marriage . ,1,0,0.6119426334326455
335,"the diversity of the artists represented , both in terms of style and ethnicity , prevents the proceedings from feeling repetitious , as does the appropriately brief 40-minute running time . ",1,0,0.6759940061213267
336,"the pianist is a fine valedictory work for polanski , made richer by his own experiences , making his other movies somehow richer in the bargain . ",1,0,0.688936834779645
337,"foster nails the role , giving a tight , focused performance illuminated by shards of feeling . ",1,0,0.6586936251666882
338,"even if you can't pronounce "" gyro "" correctly , you'll appreciate much of vardalos' humor , which transcends ethnic boundaries . ",1,0,0.687172570610511
340,farrell . . . thankfully manages to outshine the role and successfully plays the foil to willis's world-weary colonel . ,1,0,0.6466913389421328
344,"as expected , sayles' smart wordplay and clever plot contrivances are as sharp as ever , though they may be overshadowed by some strong performances . ",1,0,0.5796969670382751
347,"yeah , these flicks are just that damn good . isn't it great ? ",1,0,0.691437549978829
349,"over-the-top and a bit ostentatious , this is a movie that's got oodles of style and substance . ",1,0,0.6681234252988486
352,"boisterous , heartfelt comedy . ",1,0,0.6931151342039266
354,as a randy film about sexy people in gorgeous places being pushed and pulled ( literally and figuratively ) by desire . . . [sex and lucía] makes for an arousing good time . ,1,0,0.5908225328960042
355,absorbing character study by andré turpin . ,1,0,0.6914067777372841
356,"celebrated at sundance , this slight comedy of manners has winning performances and a glossy , glib charm that's hard to beat . ",1,0,0.5330578047467686
359,"if you love reading and/or poetry , then by all means check it out . you'll probably love it . ",1,0,0.6931432585804231
363,it's a movie -- and an album -- you won't want to miss . ,1,0,0.64511756694966
364,"it's rare to find a film that dazzles the eye , challenges the brain , and satisfies our lust for fast-paced action , but minority report delivers all that and a whole lot more . ",1,0,0.577258337651666
367,jacquot's tosca is a treat . ,1,0,0.5703173137495863
369,"if you liked such movies as notting hill , four weddings and a funeral , bridget jones' diary or high fidelity , then you won't want to miss about a boy . ",1,0,0.6883764975910318
370," . . . the gentle melding of drama and comedy makes "" what time is it there ? "" something the true film buff will enjoy . ",1,0,0.4721308891060434
371,"romanek keeps the film constantly taut . . . reflecting the character's instability with a metaphorical visual style and an unnerving , heartbeat-like score . ",1,0,0.5639891640793271
377,go see it and enjoy . ,1,0,0.542033699504192
378,"the stunning , dreamlike visuals will impress even those viewers who have little patience for euro-film pretension . ",1,0,0.6903402345781751
380,there's a vastness implied in metropolis that is just breathtaking . ,1,0,0.6922367816572412
382,"the people in dogtown and z-boys are so funny , aggressive and alive , you have to watch them because you can't wait to see what they do next . ",1,0,0.6755833997510077
384,"as bundy , michael reilly burke ( octopus 2 : river of fear ) has just the right amount of charisma and menace . ",1,0,0.6911764932326603
385,"a deceivingly simple film , one that grows in power in retrospect . ",1,0,0.6851409008157856
387,"a slick , skillful little horror film . ",1,0,0.6675922575615181
388,"a very witty take on change , risk and romance , and the film uses humour to make its points about acceptance and growth . ",1,0,0.5955150744231091
389,[anderson] uses a hit-or-miss aesthetic that hits often enough to keep the film entertaining even if none of it makes a lick of sense . ,1,0,0.6404044995501293
392,bullock does a good job here of working against her natural likability . ,1,0,0.5702989008586764
399,"chalk it up to my adoration for both de niro and murphy , but i had a pretty good time with this movie - despite its myriad flaws . ",1,0,0.6851404753591545
405,"it's a humble effort , but spiced with wry humor and genuine pathos , especially between morgan and redgrave . ",1,0,0.6374374735897084
406,this examination of aquatic life off the shores of the baja california peninsula of mexico offers an engrossing way to demonstrate the virtues of the imax format . ,1,0,0.5376159143229285
408,the movie has an avalanche of eye-popping visual effects . ,1,0,0.6907316716052203
414,"the story wraps back around on itself in the kind of elegant symmetry that's rare in film today , but be warned : it's a slow slog to get there . ",1,0,0.6890522783516253
420,notorious c . h . o . has oodles of vulgar highlights . ,1,0,0.6875194067490727
421,an inspiring and heart-affecting film about the desperate attempts of vietnamese refugees living in u . s . relocation camps to keep their hopes alive in 1975 . ,1,0,0.5057829263433347
424,"disney's live-action division has a history of releasing cinematic flotsam , but this is one occasion when they have unearthed a rare gem . ",1,0,0.6547796407181011
428,there are moments it can be heart-rending in an honest and unaffected ( and gentle ) way . ,1,0,0.4192171532040823
430,there are just enough twists in the tale to make it far more satisfying than almost any horror film in recent memory . ,1,0,0.6923926575512012
432,"working from elliott's memoir , rohmer fashions the sort of delicate , articulate character- and- relationship study he's favored for decades . ",1,0,0.6740154604095397
436,[an] hilarious romantic comedy . ,1,0,0.546822942573252
438,"ranging from funny to shattering and featuring some of the year's best acting , personal velocity gathers plenty of dramatic momentum . ",1,0,0.5985875533564946
440,recalls quiet freak-outs like l'avventura and repulsion . ,1,0,0.6590399068969388
441,"only an epic documentary could get it all down , and spike lee's jim brown : all american at long last gives its subject a movie worthy of his talents . ",1,0,0.6894642187102686
444,the movie is one of the best examples of artful large format filmmaking you are likely to see anytime soon . ,1,0,0.6345382157823334
446,"well-written , nicely acted and beautifully shot and scored , the film works on several levels , openly questioning social mores while ensnaring the audience with its emotional pull . ",1,0,0.3779736633797331
449,an impressive if flawed effort that indicates real talent . ,1,0,0.6797368516126007
450,two generations within one family test boundaries in this intelligent and restrained coming-of-age drama . ,1,0,0.5129278363201324
451,"it sounds sick and twisted , but the miracle of shainberg's film is that it truly is romance",1,0,0.6222491454621655
452,disturbing and brilliant documentary . ,1,0,0.3220861526934532
453," . . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return . ",1,0,0.4223698073237036
454,"one of the best examples of how to treat a subject , you're not fully aware is being examined , much like a photo of yourself you didn't know was being taken . ",1,0,0.6526263502226195
455,not too far below the gloss you can still feel director denis villeneuve's beating heart and the fondness he has for his characters . ,1,0,0.6907353227282456
456,"as if to prove a female director can make a movie with no soft edges , kathryn bigelow offers no sugar-coating or interludes of lightness . her film is unrelentingly claustrophobic and unpleasant . ",1,0,0.6931321164038946
