index,text,score,fold
587," . . . ambition is in short supply in the cinema , and egoyan tackles his themes and explores his characters' crises with seriousness and compassion . ",1,0
588,"an impossible romance , but we root for the patronized iranian lad . ",1,0
590,"there's a disreputable air about the whole thing , and that's what makes it irresistible . ",1,0
591,"an exceedingly clever piece of cinema . another great what you don't see' is much more terrifying than what you do see thriller , coupled with some arresting effects , incandescent tones and stupendous performances",1,0
592,a carefully structured scream of consciousness that is tortured and unsettling--but unquestionably alive . ,1,0
605,"this is as powerful a set of evidence as you'll ever find of why art matters , and how it can resonate far beyond museum walls and through to the most painfully marginal lives . ",1,0
608,bow's best moments are when he's getting busy on the basketball court because that's when he really scores . ,1,0
609,offers enough playful fun to entertain the preschool set while embracing a wholesome attitude . ,1,0
610,"in the end , punch-drunk love is one of those films that i wanted to like much more than i actually did . sometimes , that's enough . ",1,0
613,both deeply weird and charmingly dear . ,1,0
617,"an incredibly low-rent danish film , it brings a group of people together in a sweet and charming way , if a little convenient",1,0
619,director nalin pan doesn't do much to weigh any arguments one way or the other . he simply presents his point of view that ayurveda works . no question . ,1,0
621,claude miller airs out a tight plot with an easy pace and a focus on character drama over crime-film complications . ,1,0
624,"rich in detail , gorgeously shot and beautifully acted , les destinees is , in its quiet , epic way , daring , inventive and refreshingly unusual . ",1,0
635,"complex , affecting and uniquely almodóvar , the film evokes strong emotions and pushes viewers to question their deepest notions of moral right and wrong . ",1,0
636,good ol' urban legend stuff . ,1,0
638,it's one of the most honest films ever made about hollywood . ,1,0
639,"it is a film that will have people walking out halfway through , will encourage others to stand up and applaud , and will , undoubtedly , leave both camps engaged in a ferocious debate for years to come . ",1,0
647,"it's an example of sophisticated , challenging filmmaking that stands , despite its noticeable lack of emotional heft , in welcome contrast to the indulgent dead-end experimentation of the director's previous full frontal . ",1,0
649,"but tongue-in-cheek preposterousness has always been part of for the most part wilde's droll whimsy helps "" being earnest "" overcome its weaknesses and parker's creative interference . . . ",1,0
651,"the path ice age follows most closely , though , is the one established by warner bros . giant chuck jones , who died a matter of weeks before the movie's release . ",1,0
656,"sam jones became a very lucky filmmaker the day wilco got dropped from their record label , proving that one man's ruin may be another's fortune . ",1,0
658,binoche and magimel are perfect in these roles . ,1,0
662,"it may not be "" last tango in paris "" but . . . ",1,0
663,"no wonder they're talking about "" talk to her . "" it's astonishing . ",1,0
666,it is inspirational in characterizing how people from such diverse cultures share the same human and spiritual needs . ,1,0
667,it's fairly self-aware in its dumbness . ,1,0
678,a modest pleasure that accomplishes its goals with ease and confidence . ,1,0
681,"as teen movies go , "" orange county "" is a refreshing change",1,0
682,"makes s&m seem very romantic , and maggie gyllenhaal is a delight . ",1,0
687,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm . ",1,0
695,it's the kind of pigeonhole-resisting romp that hollywood too rarely provides . ,1,0
698,"it's hard not to be seduced by [witherspoon's] charisma , even in this run-of-the-mill vehicle , because this girl knows how to drive it to the max . ",1,0
705,ferrara directs the entire film with the kind of detachment that makes any given frame look like a family's custom-made christmas card . ,1,0
706,"the movie has lots of dancing and fabulous music . there are slow and repetitive parts , but it has just enough spice to keep it interesting . ",1,0
712,this is carion's debut feature but his script and direction hums with a confidence that many spend entire careers trying to reach . ,1,0
715, . . . one of the most ingenious and entertaining thrillers i've seen in quite a long time . ,1,0
716,a clever blend of fact and fiction . ,1,0
724,"flavorful and romantic , you could call this how martha got her groove back -- assuming , that is , she ever had one to begin with . ",1,0
744,i don't think i've been as entranced and appalled by an asian film since shinya tsukamoto's iron man . ,1,0
752,a marvellous journey from childhood idealism to adolescent self-absorption . ,1,0
753,"the film is just a big , gorgeous , mind-blowing , breath-taking mess . ",1,0
754,"sharp , lively , funny and ultimately sobering film . ",1,0
756,a worthy tribute to a great humanitarian and her vibrant 'co-stars . ',1,0
757,"a recent favourite at sundance , this white-trash satire will inspire the affection of even those unlucky people who never owned a cassette of def leppard's pyromania . ",1,0
758,the recording session is the only part of the film that is enlightening -- and how appreciative you are of this depends on your level of fandom . ,1,0
762,"andersson creates a world that's at once surreal and disturbingly familiar ; absurd , yet tremendously sad . ",1,0
773,"cho's fearless in picking apart human foibles , not afraid to lay her life bare in front of an audience . her delivery and timing are flawless . ",1,0
781," "" 13 conversations "" holds its goodwill close , but is relatively slow to come to the point . ",1,0
783,"don't plan on the perfect ending , but sweet home alabama hits the mark with critics who escaped from a small town life . ",1,0
788,worth the effort to watch . ,1,0
792,"a work of the utmost subtlety and perception , it marks the outstanding feature debut of writer-director eric byler , who understands the power of the implicit and the virtues of simplicity and economy . ",1,0
793,full frontal is the antidote for soderbergh fans who think he's gone too commercial since his two oscar nominated films in 2000,1,0
796,"a work of intricate elegance , literary lyricism and profound common sense . ",1,0
797,it's as close as we'll ever come to looking through a photographer's viewfinder as he works . ,1,0
799,"witty , touching and well paced . ",1,0
802,enjoy it for what it is ; you can hate yourself later . ,1,0
806,often hilarious . ,1,0
808,"at times funny and at other times candidly revealing , it's an intriguing look at two performers who put themselves out there because they love what they do . ",1,0
816,"smart science fiction for grown-ups , with only a few false steps along the way . ",1,0
820,"lathan and diggs have considerable personal charm , and their screen rapport makes the old story seem new . ",1,0
821,"the story may not be new , but australian director john polson , making his american feature debut , jazzes it up adroitly . ",1,0
827,merchant effectively translates naipaul's lively mix of characters from the page to screen . ,1,0
832,once you get into its rhythm . . . the movie becomes a heady experience . ,1,0
833," "" auto focus "" works as an unusual biopic and document of male swingers in the playboy era",1,0
839,eight crazy nights is a showcase for sandler's many talents . ,1,0
847,"its direction , its script , and weaver's performance as a vaguely discontented woman of substance make for a mildly entertaining 77 minutes , if that's what you're in the mood for . ",1,0
848,a charming romantic comedy that is by far the lightest dogme film and among the most enjoyable . ,1,0
852,"baran isn't the most transporting or gripping film from iran -- or , indeed , by its director -- but it's a worthy companion to the many fine , focused films emerging from that most surprising of nations . ",1,0
853,the visuals alone make metropolis worth seeing . ,1,0
854,"dark , resonant , inventively detailed and packed with fleet turns of plot and a feast of visual amazement . ",1,0
855,"a picture that extols the virtues of comradeship and community in a spunky , spirited fashion . ",1,0
859,evokes a little of the fear that parents have for the possible futures of their children--and the sometimes bad choices mothers and fathers make in the interests of doing them good . ,1,0
862,"an elegant , exquisitely modulated psychological thriller . ",1,0
867,"zany , exuberantly irreverent animated space adventure . ",1,0
868,dolgin and franco fashion a fascinating portrait of a vietnamese-born youngster who eagerly and easily assimilated as an all-american girl with a brand new name in southern tennessee . ,1,0
869,the disarming cornball atmosphere has a way of infecting the entire crowd as the film rolls on . ,1,0
871,"engrossing and affecting , if ultimately not quite satisfying . ",1,0
874,"funny and , at times , poignant , the film from director george hickenlooper all takes place in pasadena , "" a city where people still read . "" ",1,0
878,sits uneasily as a horror picture . . . but finds surprising depth in its look at the binds of a small family . ,1,0
882,like a south-of-the-border melrose place . ,1,0
896,the movie exists for its soccer action and its fine acting . ,1,0
900,"reinforces the talents of screenwriter charlie kaufman , creator of adaptation and being john malkovich . ",1,0
901,"greene delivers a typically solid performance in a role that is a bit of a departure from the noble characters he has played in the past , and he is matched by schweig , who carries the film on his broad , handsome shoulders . ",1,0
908,"dazzling and sugar-sweet , a blast of shallow magnificence that only sex , scandal , and a chorus line of dangerous damsels can deliver . ",1,0
913,the am-radio soundtrack and game cast -- tierney and the inimitable walken especially -- keep this unusual comedy from choking on its own conceit . ,1,0
915,"marvelous , merry and , yes , melancholy film . ",1,0
921,"a comprehensive and provocative film -- one that pushes the boundaries of biography , and challenges its audience . ",1,0
924,a worthwhile way to spend two hours . ,1,0
939,an enchanting film that presents an audacious tour of the past and takes within its warm embrace the bounties of cultural artifacts inside st . petersburg's hermitage museum . ,1,0
943,"while surprisingly sincere , this average little story is adorned with some awesome action photography and surfing . ",1,0
945,a film that is a portrait of grace in an imperfect world . ,1,0
946,a pleasurably jacked-up piece of action moviemaking . ,1,0
948,"a perverse little truffle , dainty psychological terror on the outside with a creamy filling of familial jealousy and unrepentant domestic psychopathy . ",1,0
949,"this ecologically minded , wildlife friendly film teaches good ethics while entertaining with its unconventionally wacky but loving family",1,0
954,"two hours of melodramatic musical married to two hours of underdog sports intrigue , if the picture also shares the weaknesses of both genres , more's the pity . ",1,0
957,a tale of horror and revenge that is nearly perfect in its relentless descent to the depths of one man's tortured soul . ,1,0
960,"lauren ambrose comes alive under the attention from two strangers in town - with honest performances and realistic interaction between the characters , this is a coming-of-age story with a twist . ",1,0
964,the second chapter of the harry potter series is even more magical than the first and simply the best family film of the year . ,1,0
965,"more honest about alzheimer's disease , i think , than iris . ",1,0
967,an excellent romp that boasts both a heart and a mind . ,1,0
976,"biggie and tupac is so single-mindedly daring , it puts far more polished documentaries to shame . ",1,0
982,a candid and often fascinating documentary about a pentecostal church in dallas that assembles an elaborate haunted house each year to scare teenagers into attending services . ,1,0
985,nolan bravely treads where few american films dare to delve -- into the world of ambivalence and ambiguity . . . ,1,0
998,"superior genre storytelling , which gets under our skin simply by crossing the nuclear line . ",1,0
1004,"it further declares its director , zhang yang of shower , as a boldly experimental , contemporary stylist with a bright future . ",1,0
1005,"smith's approach is never to tease , except gently and in that way that makes us consider our own eccentricities and how they are expressed through our homes . ",1,0
1006,"full of profound , real-life moments that anyone can relate to , it deserves a wide audience . ",1,0
1011,"a blessed gift to film geeks and historians . if the '70's were your idea of a good time at the movies , this will make you very happy . ",1,0
1013,"thoughtful , even stinging at times , and lots of fun . ",1,0
1015,"the wwii drama is well plotted , visually striking and filled with enjoyably complex characters who are never what they first appear . ",1,0
1025,"sturdy , entertaining period drama . . . both caine and fraser have their moments . ",1,0
1026,"whether [binoche and magimel] are being charming or angst-ridden , they easily fill their scenes and , fine judges both , never overcook the hysteria . ",1,0
1031,fans of nijinsky will savor every minute of cox's work . ,1,0
1038,u . s . audiences may find [attal and gainsbourg's] unfamiliar personas give the film an intimate and quaint reality that is a little closer to human nature than what hollywood typically concocts . ,1,0
1043,flawed but worthy look at life in u . s . relocation camps . ,1,0
1044,it's a lovely film with lovely performances by buy and accorsi . ,1,0
1051,"visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality . ",1,0
1060,the film serves as a valuable time capsule to remind us of the devastating horror suffered by an entire people . ,1,0
1062,"whether you like rap music or loathe it , you can't deny either the tragic loss of two young men in the prime of their talent or the power of this movie . ",1,0
1063," . . . an otherwise intense , twist-and-turn thriller that certainly shouldn't hurt talented young gaghan's resume . ",1,0
1064,"it provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot . ",1,0
1069,the film's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip . ,1,0
1072,"a poignant , artfully crafted meditation on mortality . ",1,0
1077,it's a stunning lyrical work of considerable force and truth . ,1,0
1081,"a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court's extradition chess game and the regime's talking-head survivors . ",1,0
1090,"a celebration of quirkiness , eccentricity , and certain individuals' tendency to let it all hang out , and damn the consequences . ",1,0
1091,"writer/director joe carnahan's grimy crime drama is a manual of precinct cliches , but it moves fast enough to cover its clunky dialogue and lapses in logic . ",1,0
1094,an infectious cultural fable with a tasty balance of family drama and frenetic comedy . ,1,0
1100,"chilling , well-acted , and finely directed : david jacobson's dahmer . ",1,0
1104,it's a coming-of-age story we've all seen bits of in other films -- but it's rarely been told with such affecting grace and cultural specificity . ,1,0
1108,one of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals . . . a psychological masterpiece . ,1,0
1121,"may not have generated many sparks , but with his affection for astoria and its people he has given his tale a warm glow . ",1,0
1122,a delirious celebration of the female orgasm . ,1,0
1124,it's fascinating to see how bettany and mcdowell play off each other . ,1,0
1125,"the film is beautifully mounted , but , more to the point , the issues are subtly presented , managing to walk a fine line with regard to the question of joan's madness . ",1,0
1130,the movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that's all too rare in hollywood's hastier productions . ,1,0
1133,"it's a much more emotional journey than what shyamalan has given us in his past two movies , and gibson , stepping in for bruce willis , is the perfect actor to take us on the trip . ",1,0
1141,"far more imaginative and ambitious than the trivial , cash-in features nickelodeon has made from its other animated tv series . ",1,0
1151,what better message than 'love thyself' could young women of any size receive ? ,1,0
1153,"84 minutes of rolling musical back beat and supercharged cartoon warfare . it's also , clearly , great fun . ",1,0
1155,"seldahl's barbara is a precise and moving portrait of someone whose world is turned upside down , first by passion and then by illness . ",1,0
1156,"a warm but realistic meditation on friendship , family and affection . ",1,0
1158,turns potentially forgettable formula into something strangely diverting . ,1,0
1159,bogdanovich tantalizes by offering a peep show into the lives of the era's creme de la celluloid . ,1,0
1160,people cinema at its finest . ,1,0
1169,"altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece . ",1,0
1172,"instead of a hyperbolic beat-charged urban western , it's an unpretentious , sociologically pointed slice of life . ",1,0
1188,montias . . . pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters . ,1,0
1192,"the continued good chemistry between carmen and juni is what keeps this slightly disappointing sequel going , with enough amusing banter -- blessedly curse-free -- to keep both kids and parents entertained . ",1,0
1193,reggio's continual visual barrage is absorbing as well as thought-provoking . ,1,0
1196,"a big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion . ",1,0
1197,the wanton slipperiness of * corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art . ,1,0
1198,a stunning and overwhelmingly cogent case for kissinger as a calculating war criminal . ,1,0
1199,sade is an engaging look at the controversial eponymous and fiercely atheistic hero . ,1,0
1201,"kinnear doesn't aim for our sympathy , but rather delivers a performance of striking skill and depth . ",1,0
1206,"chilling but uncommercial look into the mind of jeffrey dahmer , serial killer . ",1,0
1208,it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons . ,1,0
1211,"nine queens is not only than a frighteningly capable debut and genre piece , but also a snapshot of a dangerous political situation on the verge of coming to a head . ",1,0
1213,will amuse and provoke adventurous adults in specialty venues . ,1,0
1216,a film about a young man finding god that is accessible and touching to the marrow . ,1,0
1223,a subtle and well-crafted ( for the most part ) chiller . ,1,0
1226,"the best revenge may just be living well because this film , unlike other dumas adaptations , is far more likened to a treasure than a lengthy jail sentence . ",1,0
1228,"highbrow self-appointed guardians of culture need not apply , but those who loved cool as ice have at last found a worthy follow-up . ",1,0
1234,"this nickleby thing might have more homosexual undertones than an eddie murphy film . and just when you think it can't get any more gay , in pops nathan lane . ",1,0
1235,"no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand . ",1,0
1239,yakusho and shimizu . . . create engaging characterizations in imamura's lively and enjoyable cultural mix . ,1,0
1246,"for the most part , director anne-sophie birot's first feature is a sensitive , extraordinarily well-acted drama . ",1,0
1249,"a tender , heartfelt family drama . ",1,0
1261,"the film's almost unbearable portrait of sadness and grief transcends its specific story to speak to the ways in which need , history and presumption tangle , and sometimes destroy , blood ties . ",1,0
1275,"much as we might be interested in gratuitous sexualization , haneke has a different objective in mind--namely the implications of our craving for fake stimulation . ",1,0
1283," "" the ring "" is pretty much an english-language copy of the film that inspired it , and it carries the same strengths and flaws . ",1,0
1295,it's one heck of a character study -- not of hearst or davies but of the unique relationship between them . ,1,0
1298,equilibrium is what george orwell might have imagined had today's mood-altering drug therapy been envisioned by chemists in 1949 . ,1,0
1299,"creepy , authentic and dark . this disturbing bio-pic is hard to forget . ",1,0
1302,it's so good that you can practically see the hollywood 'suits' trying to put together the cast and filmmaking team for the all-too -inevitable american remake . ,1,0
1315,"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she's as morning-glory exuberant as she was in amélie . ",1,0
1316,"the movie has an infectious exuberance that will engage anyone with a passing interest in the skate/surf culture , the l . a . beach scene and the imaginative ( and sometimes illegal ) ways kids can make a playground out of the refuse of adults . ",1,0
1317,"even if you don't think [kissinger's] any more guilty of criminal activity than most contemporary statesmen , he'd sure make a courtroom trial great fun to watch . ",1,0
1318,the story and structure are well-honed . fresnadillo's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that won't go away . ,1,0
1327,"it proves quite compelling as an intense , brooding character study . ",1,0
1332,one of the smartest takes on singles culture i've seen in a long time . ,1,0
1333,"there is a fabric of complex ideas here , and feelings that profoundly deepen them . ",1,0
1343,"maneuvers skillfully through the plot's hot brine -- until it's undone by the sogginess of its contemporary characters , and actors . ",1,0
1344,"it has the ability to offend and put off everyone , but it holds you with its outrageousness . ",1,0
1345,"anchored by friel and williams's exceptional performances , the film's power lies in its complexity . nothing is black and white . ",1,0
1347,psychologically savvy . ,1,0
1351,the chateau cleverly probes the cross-cultural differences between gauls and yanks . ,1,0
1355,it confirms fincher's status as a film maker who artfully bends technical know-how to the service of psychological insight . ,1,0
1358,"with tightly organized efficiency , numerous flashbacks and a constant edge of tension , miller's film is one of 2002's involvingly adult surprises . ",1,0
1363,"not a film to rival to live , but a fine little amuse-bouche to keep your appetite whetted . ",1,0
1366,"macdowell , whose wifty southern charm has anchored lighter affairs . . . brings an absolutely riveting conviction to her role . ",1,0
1373,moretti's compelling anatomy of grief and the difficult process of adapting to loss . ,1,0
1378,"charles' entertaining film chronicles seinfeld's return to stand-up comedy after the wrap of his legendary sitcom , alongside wannabe comic adams' attempts to get his shot at the big time . ",1,0
1391,if you dig on david mamet's mind tricks . . . rent this movie and enjoy ! ,1,0
